video_name,scheduling_strategy,resolution,average_fps,total_processing_time_s,scheduler_accuracy_percent,average_performance_improvement,strategy_switches,target_fps,target_fps_achievement_rate,total_frames_processed
480p_short_mixed,adaptive,640x480,301.942,0.993568,90.3333,-1.07295,1,0,0,300
480p_short_mixed,sequential,640x480,311.005,0.964616,98,0.585203,0,0,0,300
480p_short_mixed,concurrent,640x480,301.861,0.993833,90.3333,-0.829494,1,0,0,300
720p_short_mixed,adaptive,1280x720,127.947,2.34473,100,0.22067,1,0,0,300
720p_short_mixed,sequential,1280x720,131.767,2.27675,90,-0.225253,0,0,0,300
720p_short_mixed,concurrent,1280x720,132.728,2.26027,100,0.222882,1,0,0,300
1080p_short_mixed,adaptive,1920x1080,67.162,4.46681,100,0.0906304,1,0,0,300
1080p_short_mixed,sequential,1920x1080,70.5391,4.25296,90,-0.102065,0,0,0,300
1080p_short_mixed,concurrent,1920x1080,69.7834,4.29902,100,0.0897098,1,0,0,300
1440p_short_mixed,adaptive,2560x1440,40.8146,7.3503,100,0.060177,1,0,0,300
1440p_short_mixed,sequential,2560x1440,41.4276,7.24155,90,-0.0573192,0,0,0,300
1440p_short_mixed,concurrent,2560x1440,41.4037,7.24572,100,0.0577487,1,0,0,300
720p_realtime_test,adaptive,1280x720,23.9986,30.0018,100,0.248596,1,24,100,720
720p_realtime_test,sequential,1280x720,23.999,30.0013,90.5556,-0.21125,0,24,100,720
720p_realtime_test,concurrent,1280x720,23.9989,30.0013,99.8611,0.235016,1,24,100,720
720p_realtime_test,adaptive,1280x720,29.9982,30.0018,100,0.245363,1,30,100,900
720p_realtime_test,sequential,1280x720,29.9983,30.0017,90.3333,-0.232552,0,30,100,900
720p_realtime_test,concurrent,1280x720,29.9987,30.0013,99.8889,0.245059,1,30,100,900
720p_realtime_test,adaptive,1280x720,59.9996,30.0002,100,0.252656,1,60,100,1800
720p_realtime_test,sequential,1280x720,59.9996,30.0002,90.2222,-0.222532,0,60,100,1800
720p_realtime_test,concurrent,1280x720,59.9996,30.0002,99.8889,0.244883,1,60,100,1800
720p_short_low_complexity,adaptive,1280x720,210.8,1.42315,100,0.208132,1,0,100,300
720p_short_high_complexity,adaptive,1280x720,93.5352,3.20735,100,0.248067,1,0,100,300
720p_short_mixed,adaptive,1280x720,131.674,2.27835,100,0.232936,1,0,100,300
sustained_performance_test,adaptive,1920x1080,70.809,25.4205,99.9444,0.108631,1,0,100,1800
sustained_performance_test,sequential,1920x1080,71.1217,25.3087,90,-0.114407,0,0,100,1800
sustained_performance_test,concurrent,1920x1080,71.1773,25.289,100,0.109099,1,0,100,1800
