kernel,avg_sm_throughput_pct,avg_dram_throughput_pct,registers_per_thread,shared_mem_per_block_bytes,avg_occupancy_pct,avg_l1_throughput_pct,avg_l2_throughput_pct,grid,block,bottleneck
"conv2d_kernel(const float *, float *, int, int)",64.6,12.1,27,0,94.9,0.5,8.0,"(120, 68, 1)","(16, 16, 1)",compute-bound
"double_threshold_kernel(float *, unsigned char *, int, int, float, float)",42.6,60.3,16,0,75.2,1.5,18.9,"(120, 68, 1)","(16, 16, 1)",balanced
"gaussian_blur_kernel(unsigned char *, float *, int, int)",46.6,9.8,44,0,91.1,3.9,7.6,"(120, 68, 1)","(16, 16, 1)",compute-bound
"gaussian_blur_uchar_kernel(unsigned char *, float *, int, int)",46.6,9.8,44,0,91.2,3.9,7.6,"(120, 68, 1)","(16, 16, 1)",compute-bound
"gradient_magnitude_kernel(float *, float *, float *, float *, int, int)",43.6,76.4,24,0,80.7,2.0,26.7,"(120, 68, 1)","(16, 16, 1)",memory-bound
"harris_response_kernel(unsigned char *, float *, int, int, int, int, float)",48.1,3.9,39,0,91.8,3.9,4.7,"(120, 68, 1)","(16, 16, 1)",compute-bound
"harris_threshold_kernel(float *, unsigned char *, int, int, float)",38.6,32.4,16,0,73.5,3.4,14.0,"(120, 68, 1)","(16, 16, 1)",balanced
"histogram_kernel(const unsigned char *, unsigned int *, int, int)",3.4,1.1,16,0,92.9,0.3,20.0,"(1024, 1, 1)","(256, 1, 1)",compute-bound
"matmul_kernel(const float *, const float *, float *, int)",83.6,4.1,36,0,90.8,0.6,12.1,"(64, 64, 1)","(16, 16, 1)",compute-bound
"non_maximum_suppression_kernel(float *, float *, float *, int, int)",86.4,27.3,36,0,78.0,0.9,8.6,"(120, 68, 1)","(16, 16, 1)",compute-bound
"sobel_kernel(float *, float *, float *, int, int)",43.5,55.1,26,0,81.2,6.0,27.2,"(120, 68, 1)","(16, 16, 1)",balanced
"synthetic_bandwidth_kernel(const float *, float *, int)",18.8,74.6,26,0,90.0,2.2,29.1,"(2048, 1, 1)","(256, 1, 1)",memory-bound
"synthetic_compute_kernel(const float *, float *, int, int)",96.6,11.9,16,0,95.4,0.3,8.7,"(8100, 1, 1)","(256, 1, 1)",compute-bound
